2023-04-19 20:19:00,796 INFO    MainThread:7992 [wandb_setup.py:_flush():76] Configure stats pid to 7992
2023-04-19 20:19:00,797 INFO    MainThread:7992 [wandb_setup.py:_flush():76] Loading settings from C:\Users\cosmi\.config\wandb\settings
2023-04-19 20:19:00,797 INFO    MainThread:7992 [wandb_setup.py:_flush():76] Loading settings from C:\MyDocuments\Disertatie\segments\wandb_visualization\overlap\wandb\settings
2023-04-19 20:19:00,797 INFO    MainThread:7992 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-04-19 20:19:00,797 INFO    MainThread:7992 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'wrapper_test_and_train.py', 'program': 'C:\\MyDocuments\\Disertatie\\segments\\wandb_visualization\\overlap\\wrapper_test_and_train.py'}
2023-04-19 20:19:00,799 INFO    MainThread:7992 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-04-19 20:19:00,799 INFO    MainThread:7992 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-04-19 20:19:00,799 INFO    MainThread:7992 [wandb_init.py:_log_setup():507] Logging user logs to C:\MyDocuments\Disertatie\segments\wandb_visualization\overlap\wandb\run-20230419_201900-zyvl2y5j\logs\debug.log
2023-04-19 20:19:00,800 INFO    MainThread:7992 [wandb_init.py:_log_setup():508] Logging internal logs to C:\MyDocuments\Disertatie\segments\wandb_visualization\overlap\wandb\run-20230419_201900-zyvl2y5j\logs\debug-internal.log
2023-04-19 20:19:00,801 INFO    MainThread:7992 [wandb_init.py:init():547] calling init triggers
2023-04-19 20:19:00,801 INFO    MainThread:7992 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-04-19 20:19:00,802 INFO    MainThread:7992 [wandb_init.py:init():595] starting backend
2023-04-19 20:19:00,802 INFO    MainThread:7992 [wandb_init.py:init():599] setting up manager
2023-04-19 20:19:00,812 INFO    MainThread:7992 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-19 20:19:00,820 INFO    MainThread:7992 [wandb_init.py:init():605] backend started and connected
2023-04-19 20:19:00,827 INFO    MainThread:7992 [wandb_init.py:init():695] updated telemetry
2023-04-19 20:19:00,828 INFO    MainThread:7992 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-19 20:19:01,781 INFO    MainThread:7992 [wandb_run.py:_on_init():2176] communicating current version
2023-04-19 20:19:01,989 INFO    MainThread:7992 [wandb_run.py:_on_init():2185] got version response 
2023-04-19 20:19:01,989 INFO    MainThread:7992 [wandb_init.py:init():782] starting run threads in backend
2023-04-19 20:19:02,499 INFO    MainThread:7992 [wandb_run.py:_console_start():2157] atexit reg
2023-04-19 20:19:02,499 INFO    MainThread:7992 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-19 20:19:02,499 INFO    MainThread:7992 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-19 20:19:02,499 INFO    MainThread:7992 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-19 20:19:02,499 INFO    MainThread:7992 [wandb_init.py:init():824] run started, returning control to user process
2023-04-19 20:20:24,946 INFO    MainThread:7992 [wandb_run.py:_finish():1892] finishing run cosminaionut/Defect-Detection/zyvl2y5j
2023-04-19 20:20:24,946 INFO    MainThread:7992 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-19 20:20:24,946 INFO    MainThread:7992 [wandb_run.py:_restore():2109] restore
2023-04-19 20:20:24,946 INFO    MainThread:7992 [wandb_run.py:_restore():2115] restore done
2023-04-19 20:20:40,489 INFO    MainThread:7992 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-19 20:20:40,489 INFO    MainThread:7992 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-19 20:20:40,489 INFO    MainThread:7992 [wandb_run.py:_footer_sync_info():3434] logging synced files
