2023-04-19 16:00:35,019 INFO    Thread-8528 (_run_job):20468 [wandb_setup.py:_flush():76] Configure stats pid to 20468
2023-04-19 16:00:35,020 INFO    Thread-8528 (_run_job):20468 [wandb_setup.py:_flush():76] Loading settings from C:\Users\cosmi\.config\wandb\settings
2023-04-19 16:00:35,020 INFO    Thread-8528 (_run_job):20468 [wandb_setup.py:_flush():76] Loading settings from C:\MyDocuments\Disertatie\segments\wandb_visualization\wandb\settings
2023-04-19 16:00:35,020 INFO    Thread-8528 (_run_job):20468 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'cosminaionut', 'project': 'Defect-Detection-Sweep', 'root_dir': 'C:\\MyDocuments\\Disertatie\\segments\\wandb_visualization', 'run_id': 'jaicy9if', 'sweep_param_path': 'C:\\MyDocuments\\Disertatie\\segments\\wandb_visualization\\wandb\\sweep-26o58paj\\config-jaicy9if.yaml', 'sweep_id': '26o58paj'}
2023-04-19 16:00:35,022 INFO    Thread-8528 (_run_job):20468 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-19 16:00:35,022 INFO    Thread-8528 (_run_job):20468 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'sweeps_configuration.py', 'program': 'C:\\MyDocuments\\Disertatie\\segments\\wandb_visualization\\sweeps_configuration.py'}
2023-04-19 16:00:35,022 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:_log_setup():507] Logging user logs to C:\MyDocuments\Disertatie\segments\wandb_visualization\wandb\run-20230419_160035-jaicy9if\logs\debug.log
2023-04-19 16:00:35,022 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:_log_setup():508] Logging internal logs to C:\MyDocuments\Disertatie\segments\wandb_visualization\wandb\run-20230419_160035-jaicy9if\logs\debug-internal.log
2023-04-19 16:00:35,022 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:init():547] calling init triggers
2023-04-19 16:00:35,022 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:init():554] wandb.init called with sweep_config: {'batch_size': 16, 'epochs': 50, 'hidden_layer_size': [20], 'learning_rate': 0.03944716392507282, 'monitor': 'val_loss', 'optimizer': 'rmsprop', 'patience': 3}
config: {}
2023-04-19 16:00:35,023 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:init():595] starting backend
2023-04-19 16:00:35,023 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:init():599] setting up manager
2023-04-19 16:00:35,035 INFO    Thread-8528 (_run_job):20468 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-19 16:00:35,043 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:init():605] backend started and connected
2023-04-19 16:00:35,052 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_config_callback():1285] config_cb None None {'batch_size': 16, 'epochs': 50, 'hidden_layer_size': [20], 'learning_rate': 0.03944716392507282, 'monitor': 'val_loss', 'optimizer': 'rmsprop', 'patience': 3}
2023-04-19 16:00:35,054 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:init():695] updated telemetry
2023-04-19 16:00:35,055 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-19 16:00:35,521 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_on_init():2176] communicating current version
2023-04-19 16:00:35,700 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_on_init():2185] got version response 
2023-04-19 16:00:35,700 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:init():782] starting run threads in backend
2023-04-19 16:00:36,232 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_console_start():2157] atexit reg
2023-04-19 16:00:36,233 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-19 16:00:36,233 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-19 16:00:36,233 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-19 16:00:36,234 INFO    Thread-8528 (_run_job):20468 [wandb_init.py:init():824] run started, returning control to user process
2023-04-19 16:05:45,307 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_finish():1892] finishing run cosminaionut/Defect-Detection-Sweep/jaicy9if
2023-04-19 16:05:45,307 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-19 16:05:45,307 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_restore():2109] restore
2023-04-19 16:05:45,307 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_restore():2115] restore done
2023-04-19 16:06:09,080 ERROR   Thread-6 (_heartbeat):20468 [internal_api.py:execute():288] 500 response executing GraphQL.
2023-04-19 16:06:09,080 ERROR   Thread-6 (_heartbeat):20468 [internal_api.py:execute():289] {"errors":[{"message":"context deadline exceeded"}]}
2023-04-19 16:06:45,201 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-19 16:06:45,201 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-19 16:06:45,201 INFO    Thread-8528 (_run_job):20468 [wandb_run.py:_footer_sync_info():3434] logging synced files
