2023-04-29 21:38:52,067 INFO    Thread-1657:1840 [wandb_setup.py:_flush():76] Configure stats pid to 1840
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_setup.py:_flush():76] Loading settings from C:\Users\cosmi\.config\wandb\settings
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_setup.py:_flush():76] Loading settings from C:\MyDocuments\Disertatie\segments\wandb_visualization\wandb\settings
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'cosminaionut', 'project': 'Defect-Detection-Sweep', 'root_dir': 'C:\\MyDocuments\\Disertatie\\segments\\wandb_visualization', 'run_id': '6lpwzcvj', 'sweep_param_path': 'C:\\MyDocuments\\Disertatie\\segments\\wandb_visualization\\wandb\\sweep-hhijm0a9\\config-6lpwzcvj.yaml', 'sweep_id': 'hhijm0a9'}
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'wandb_visualization\\sweeps_CNN_configuration.py', 'program': 'C:\\MyDocuments\\Disertatie\\segments\\wandb_visualization\\sweeps_CNN_configuration.py'}
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_init.py:_log_setup():507] Logging user logs to C:\MyDocuments\Disertatie\segments\wandb_visualization\wandb\run-20230429_213852-6lpwzcvj\logs\debug.log
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_init.py:_log_setup():508] Logging internal logs to C:\MyDocuments\Disertatie\segments\wandb_visualization\wandb\run-20230429_213852-6lpwzcvj\logs\debug-internal.log
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_init.py:init():547] calling init triggers
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_init.py:init():554] wandb.init called with sweep_config: {'batch_size': 32, 'cnn_input_nodes': 8, 'cnn_layer_size': [34], 'dense_units': 1, 'epochs': 150, 'learning_rate': 0.022748747494923297, 'monitor': 'val_loss', 'optimizer': 'adam', 'patience': 15}
config: {}
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_init.py:init():595] starting backend
2023-04-29 21:38:52,072 INFO    Thread-1657:1840 [wandb_init.py:init():599] setting up manager
2023-04-29 21:38:52,081 INFO    Thread-1657:1840 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-04-29 21:38:52,086 INFO    Thread-1657:1840 [wandb_init.py:init():605] backend started and connected
2023-04-29 21:38:52,096 INFO    Thread-1657:1840 [wandb_run.py:_config_callback():1285] config_cb None None {'batch_size': 32, 'cnn_input_nodes': 8, 'cnn_layer_size': [34], 'dense_units': 1, 'epochs': 150, 'learning_rate': 0.022748747494923297, 'monitor': 'val_loss', 'optimizer': 'adam', 'patience': 15}
2023-04-29 21:38:52,096 INFO    Thread-1657:1840 [wandb_init.py:init():695] updated telemetry
2023-04-29 21:38:52,135 INFO    Thread-1657:1840 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-04-29 21:38:52,793 INFO    Thread-1657:1840 [wandb_run.py:_on_init():2176] communicating current version
2023-04-29 21:38:53,262 INFO    Thread-1657:1840 [wandb_run.py:_on_init():2185] got version response 
2023-04-29 21:38:53,262 INFO    Thread-1657:1840 [wandb_init.py:init():782] starting run threads in backend
2023-04-29 21:38:53,422 INFO    Thread-1657:1840 [wandb_run.py:_console_start():2157] atexit reg
2023-04-29 21:38:53,427 INFO    Thread-1657:1840 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-04-29 21:38:53,427 INFO    Thread-1657:1840 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-04-29 21:38:53,427 INFO    Thread-1657:1840 [wandb_run.py:_redirect():2102] Redirects installed.
2023-04-29 21:38:53,427 INFO    Thread-1657:1840 [wandb_init.py:init():824] run started, returning control to user process
2023-04-29 21:58:09,941 INFO    Thread-1657:1840 [wandb_run.py:_finish():1892] finishing run cosminaionut/Defect-Detection-Sweep/6lpwzcvj
2023-04-29 21:58:09,941 INFO    Thread-1657:1840 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-04-29 21:58:09,941 INFO    Thread-1657:1840 [wandb_run.py:_restore():2109] restore
2023-04-29 21:58:09,942 INFO    Thread-1657:1840 [wandb_run.py:_restore():2115] restore done
2023-04-29 21:58:16,375 INFO    Thread-1657:1840 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-04-29 21:58:16,378 INFO    Thread-1657:1840 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-04-29 21:58:16,388 INFO    Thread-1657:1840 [wandb_run.py:_footer_sync_info():3434] logging synced files
