2023-05-07 03:59:45,419 INFO    Thread-1663:17828 [wandb_setup.py:_flush():76] Configure stats pid to 17828
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_setup.py:_flush():76] Loading settings from C:\Users\cosmi\.config\wandb\settings
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_setup.py:_flush():76] Loading settings from C:\MyDocuments\Disertatie\segments\wandb_visualization\wandb\settings
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'entity': 'cosminaionut', 'project': 'Defect-Detection-Sweep', 'root_dir': 'C:\\MyDocuments\\Disertatie\\segments\\wandb_visualization', 'run_id': 'h6o3rgjy', 'sweep_param_path': 'C:\\MyDocuments\\Disertatie\\segments\\wandb_visualization\\wandb\\sweep-0047gdct\\config-h6o3rgjy.yaml', 'sweep_id': '0047gdct'}
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'wandb_visualization\\sweeps_RNN_configuration.py', 'program': 'C:\\MyDocuments\\Disertatie\\segments\\wandb_visualization\\sweeps_RNN_configuration.py'}
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_init.py:_log_setup():507] Logging user logs to C:\MyDocuments\Disertatie\segments\wandb_visualization\wandb\run-20230507_035945-h6o3rgjy\logs\debug.log
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_init.py:_log_setup():508] Logging internal logs to C:\MyDocuments\Disertatie\segments\wandb_visualization\wandb\run-20230507_035945-h6o3rgjy\logs\debug-internal.log
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_init.py:init():547] calling init triggers
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_init.py:init():554] wandb.init called with sweep_config: {'activation': ['tanh', 'sigmoid', 'softmax'], 'batch_size': 0, 'dense_units': 4, 'epochs': 150, 'hidden_layer_size': [5], 'learning_rate': 0.01965986474254747, 'monitor': 'val_loss', 'optimizer': 'rmsprop', 'patience': 15}
config: {}
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_init.py:init():595] starting backend
2023-05-07 03:59:45,420 INFO    Thread-1663:17828 [wandb_init.py:init():599] setting up manager
2023-05-07 03:59:45,431 INFO    Thread-1663:17828 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-05-07 03:59:45,436 INFO    Thread-1663:17828 [wandb_init.py:init():605] backend started and connected
2023-05-07 03:59:45,446 INFO    Thread-1663:17828 [wandb_run.py:_config_callback():1285] config_cb None None {'activation': ['tanh', 'sigmoid', 'softmax'], 'batch_size': 0, 'dense_units': 4, 'epochs': 150, 'hidden_layer_size': [5], 'learning_rate': 0.01965986474254747, 'monitor': 'val_loss', 'optimizer': 'rmsprop', 'patience': 15}
2023-05-07 03:59:45,446 INFO    Thread-1663:17828 [wandb_init.py:init():695] updated telemetry
2023-05-07 03:59:45,496 INFO    Thread-1663:17828 [wandb_init.py:init():732] communicating run to backend with 60.0 second timeout
2023-05-07 03:59:46,169 INFO    Thread-1663:17828 [wandb_run.py:_on_init():2176] communicating current version
2023-05-07 03:59:46,579 INFO    Thread-1663:17828 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.15.2 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-05-07 03:59:46,579 INFO    Thread-1663:17828 [wandb_init.py:init():782] starting run threads in backend
2023-05-07 03:59:46,762 INFO    Thread-1663:17828 [wandb_run.py:_console_start():2157] atexit reg
2023-05-07 03:59:46,762 INFO    Thread-1663:17828 [wandb_run.py:_redirect():2012] redirect: SettingsConsole.WRAP_RAW
2023-05-07 03:59:46,762 INFO    Thread-1663:17828 [wandb_run.py:_redirect():2077] Wrapping output streams.
2023-05-07 03:59:46,762 INFO    Thread-1663:17828 [wandb_run.py:_redirect():2102] Redirects installed.
2023-05-07 03:59:46,762 INFO    Thread-1663:17828 [wandb_init.py:init():824] run started, returning control to user process
2023-05-07 04:57:42,048 INFO    Thread-1663:17828 [wandb_run.py:_finish():1892] finishing run cosminaionut/Defect-Detection-Sweep/h6o3rgjy
2023-05-07 04:57:42,048 INFO    Thread-1663:17828 [wandb_run.py:_atexit_cleanup():2126] got exitcode: 0
2023-05-07 04:57:42,048 INFO    Thread-1663:17828 [wandb_run.py:_restore():2109] restore
2023-05-07 04:57:42,048 INFO    Thread-1663:17828 [wandb_run.py:_restore():2115] restore done
2023-05-07 04:57:48,659 INFO    Thread-1663:17828 [wandb_run.py:_footer_history_summary_info():3476] rendering history
2023-05-07 04:57:48,659 INFO    Thread-1663:17828 [wandb_run.py:_footer_history_summary_info():3508] rendering summary
2023-05-07 04:57:48,669 INFO    Thread-1663:17828 [wandb_run.py:_footer_sync_info():3434] logging synced files
